id,family_id,name,slug,description
proc_abdomen_pelvis_ct_scan,fam_ct_scan,CT scan of abdomen and pelvis ,proc_abdomen_pelvis_ct_scan
proc_abdomen_ultrasound,fam_ultrasound,Ultrasound of abdomen,proc_abdomen_ultrasound
proc_abdomen_x_ray,fam_x_ray,X-ray of abdomen,proc_abdomen_x_ray
proc_abdominal_cavity_ultrasound,fam_ultrasound,Ultrasound behind abdominal cavity,proc_abdominal_cavity_ultrasound
proc_advance_care_planning,fam_care_planning,Advance Care Planning,proc_advance_care_planning
proc_ankle_x_ray,fam_x_ray,X-ray of ankle,proc_ankle_x_ray
proc_annual_alcohol_screening,fam_mental_health_screen,Annual alcohol misuse screening,proc_annual_alcohol_screening
proc_annual_depression_screening,fam_mental_health_screen,Annual depression screening,proc_annual_depression_screening
proc_annual_wellness_visit,fam_office_visit,Annual wellness visit,proc_annual_wellness_visit
proc_arm_joint_mri,fam_mri,Arm joint MRI,proc_arm_joint_mri
proc_arm_leg_arteries_ultrasound,fam_ultrasound,Arm or leg arteries ultrasound,proc_arm_leg_arteries_ultrasound
proc_arm_leg_veins_ultrasound,fam_ultrasound,Arm or leg veins ultrasound,proc_arm_leg_veins_ultrasound
proc_arthrocentesis,fam_joint_clinical_procedure,Aspiration and/or injection of fluid from joint,proc_arthrocentesis
proc_automated_urine_test,fam_urine_test,Automated urine test,proc_automated_urine_test
proc_bladder_capacity_ultrasound,fam_ultrasound,Ultrasound to evaluate bladder capacity ,proc_bladder_capacity_ultrasound
proc_bladder_urethra_endoscopy,fam_endoscopy,Diagnostic exam of bladder and urethra using an endoscope,proc_bladder_urethra_endoscopy
proc_blood_collection,fam_blood_test,Insertion of needle into vein for collection of blood sample,proc_blood_collection
proc_blood_vessels_abdomen_pelvis_ct_scan,fam_ct_scan,CT scan of blood vessels of abdomen and pelvis,proc_blood_vessels_abdomen_pelvis_ct_scan
proc_blood_vessels_chest_ct_scan,fam_ct_scan,CT scan of blood vessels of chest,proc_blood_vessels_chest_ct_scan
proc_blood_vessels_head_ct_scan,fam_ct_scan,CT scan of blood vessels of head,proc_blood_vessels_head_ct_scan
proc_blood_vessels_neck_ct_scan,fam_ct_scan,CT scan of blood vessels of neck,proc_blood_vessels_neck_ct_scan
proc_brain_mri,fam_mri,MRI of brain,proc_brain_mri
proc_breast_ultrasound,fam_ultrasound,Ultrasound of breast(s),proc_breast_ultrasound
proc_chest_cancer_screen_ct_scan,fam_ct_scan,CT scan of chest for cancer screening,proc_chest_cancer_screen_ct_scan
proc_chest_ct_scan,fam_ct_scan,CT scan of chest,proc_chest_ct_scan
proc_chest_x_ray,fam_x_ray,X-ray of chest,proc_chest_x_ray
proc_chronic_care_management,fam_chronic_care,Chronic care management,proc_chronic_care_management
proc_clotting_time_blood_test,fam_blood_test,Clotting time blood test,proc_clotting_time_blood_test
proc_colon_exam_anesthesia,fam_anesthesia,Anesthesia for colon exam,proc_colon_exam_anesthesia
proc_colonoscopy,fam_colonoscopy,Colonoscopy,proc_colonoscopy
proc_complete_blood_cell_count_blood_test,fam_blood_test,Complete blood cell count,proc_complete_blood_cell_count_blood_test
